Date,Open,High,Low,Close/Last,Adj. Close,Volume
1-Dec-21,"34,678.94","36,189.83","34,006.98","35,365.44","35,365.44","5,926,810,000"
31-Oct-21,"35,833.65","36,565.73","34,424.44","34,483.72","34,483.72","7,201,370,000"
30-Sep-21,"33,930.70","35,892.92","33,785.54","35,819.56","35,819.56","6,709,650,000"
31-Aug-21,"35,387.55","35,475.40","33,613.03","33,843.92","33,843.92","6,603,470,000"
31-Jul-21,"34,968.56","35,631.19","34,690.25","35,360.73","35,360.73","5,625,700,000"
30-Jun-21,"34,507.32","35,171.52","33,741.76","34,935.47","34,935.47","6,646,570,000"
31-May-21,"34,584.19","34,849.32","33,271.93","34,502.51","34,502.51","6,739,760,000"
30-Apr-21,"33,904.89","35,091.56","33,473.80","34,529.45","34,529.45","6,543,360,000"
31-Mar-21,"33,054.58","34,256.75","32,985.35","33,874.85","33,874.85","6,810,740,000"
1-Mar-21,"31,065.90","33,259.00","30,547.53","32,981.55","32,981.55","9,687,630,000"
1-Feb-21,"30,054.73","32,009.64","30,014.97","30,932.37","30,932.37","6,713,920,000"
1-Jan-21,"30,627.47","31,272.22","29,856.30","29,982.62","29,982.62","8,168,770,000"
1-Dec-20,"29,797.50","30,637.47","29,599.29","30,606.48","30,606.48","8,098,310,000"
31-Oct-20,"26,691.28","30,116.51","26,691.28","29,638.64","29,638.64","7,872,380,000"
30-Sep-20,"27,940.63","28,957.90","26,143.77","26,501.60","26,501.60","8,439,930,000"
31-Aug-20,"28,439.61","29,199.35","26,537.01","27,781.70","27,781.70","9,973,920,000"
31-Jul-20,"26,542.32","28,733.35","26,534.38","28,430.05","28,430.05","7,452,360,000"
30-Jun-20,"25,879.38","27,071.33","25,523.51","26,428.32","26,428.32","8,210,370,000"
31-May-20,"25,342.99","27,580.21","24,843.18","25,812.88","25,812.88","9,710,480,000"
30-Apr-20,"24,120.78","25,758.79","22,789.62","25,383.11","25,383.11","7,940,630,000"
31-Mar-20,"21,227.38","24,764.77","20,735.02","24,345.72","24,345.72","9,805,160,000"
1-Mar-20,"25,590.51","27,102.34","18,213.65","21,917.16","21,917.16","15,521,140,000"
1-Feb-20,"28,319.65","29,568.57","24,681.01","25,409.36","25,409.36","6,991,990,000"
1-Jan-20,"28,638.97","29,373.62","28,169.53","28,256.03","28,256.03","6,170,770,000"
1-Dec-19,"28,109.74","28,701.66","27,325.13","28,538.44","28,538.44","5,086,880,000"
31-Oct-19,"27,142.95","28,174.97","27,142.95","28,051.41","28,051.41","4,925,180,000"
30-Sep-19,"26,962.54","27,204.36","25,743.46","27,046.23","27,046.23","5,660,960,000"
31-Aug-19,"26,198.26","27,306.73","25,978.22","26,916.83","26,916.83","5,045,520,000"
31-Jul-19,"26,879.86","27,175.59","25,339.60","26,403.28","26,403.28","6,196,080,000"
30-Jun-19,"26,805.86","27,398.68","26,616.21","26,864.27","26,864.27","5,207,470,000"
31-May-19,"24,830.16","26,907.37","24,680.57","26,599.96","26,599.96","5,544,390,000"
30-Apr-19,"26,639.06","26,689.39","24,809.51","24,815.04","24,815.04","6,358,230,000"
31-Mar-19,"26,075.10","26,695.96","26,062.59","26,592.91","26,592.91","5,854,600,000"
1-Mar-19,"26,019.67","26,155.98","25,208.00","25,928.68","25,928.68","6,637,700,000"
1-Feb-19,"25,025.31","26,241.42","24,883.04","25,916.00","25,916.00","5,434,540,000"
1-Jan-19,"23,058.61","25,109.62","22,638.41","24,999.67","24,999.67","7,189,200,000"
1-Dec-18,"25,779.57","25,980.21","21,712.53","23,327.46","23,327.46","8,101,540,000"
31-Oct-18,"25,142.08","26,277.82","24,268.74","25,538.46","25,538.46","7,226,940,000"
30-Sep-18,"26,598.36","26,951.81","24,122.23","25,115.76","25,115.76","8,373,350,000"
31-Aug-18,"25,916.07","26,769.16","25,754.32","26,458.31","26,458.31","5,262,500,000"
31-Jul-18,"25,461.63","26,167.94","24,965.77","25,964.82","25,964.82","5,635,410,000"
30-Jun-18,"24,161.53","25,587.24","24,077.56","25,415.19","25,415.19","5,408,500,000"
31-May-18,"24,542.09","25,402.83","23,997.21","24,271.41","24,271.41","7,411,110,000"
30-Apr-18,"24,117.29","25,086.49","23,531.31","24,415.84","24,415.84","7,278,020,000"
31-Mar-18,"24,076.60","24,858.97","23,344.52","24,163.15","24,163.15","8,064,550,000"
1-Mar-18,"25,024.04","25,449.15","23,509.06","24,103.11","24,103.11","8,873,040,000"
1-Feb-18,"26,083.04","26,306.70","23,360.29","25,029.20","25,029.20","9,450,250,000"
1-Jan-18,"24,809.35","26,616.71","24,741.70","26,149.39","26,149.39","9,116,920,000"
1-Dec-17,"24,305.40","24,876.07","23,921.90","24,719.22","24,719.22","6,589,890,000"
31-Oct-17,"23,442.90","24,327.82","23,242.75","24,272.35","24,272.35","7,335,640,000"
30-Sep-17,"22,423.47","23,485.25","22,416.00","23,377.24","23,377.24","7,302,910,000"
31-Aug-17,"21,981.77","22,419.51","21,709.63","22,405.09","22,405.09","6,342,130,000"
31-Jul-17,"21,961.42","22,179.11","21,600.34","21,948.10","21,948.10","6,150,060,000"
30-Jun-17,"21,392.30","21,929.80","21,279.30","21,891.12","21,891.12","5,569,720,000"
31-May-17,"21,030.55","21,535.03","20,994.22","21,349.63","21,349.63","7,214,590,000"
30-Apr-17,"20,962.73","21,112.32","20,553.45","21,008.65","21,008.65","6,613,570,000"
31-Mar-17,"20,665.17","21,070.90","20,379.55","20,940.51","20,940.51","5,392,630,000"
1-Mar-17,"20,957.29","21,169.11","20,412.80","20,663.22","20,663.22","6,941,970,000"
1-Feb-17,"19,923.81","20,851.33","19,831.09","20,812.24","20,812.24","6,185,580,000"
1-Jan-17,"19,872.86","20,125.58","19,677.94","19,864.09","19,864.09","6,482,900,000"
1-Dec-16,"19,149.20","19,987.63","19,138.79","19,762.60","19,762.60","5,952,470,000"
31-Oct-16,"18,158.24","19,225.29","17,883.56","19,123.58","19,123.58","2,107,770,000"
30-Sep-16,"18,279.60","18,399.96","17,959.95","18,142.42","18,142.42","1,793,690,000"
31-Aug-16,"18,396.57","18,551.54","17,992.21","18,308.15","18,308.15","2,101,120,000"
31-Jul-16,"18,434.50","18,722.61","18,247.79","18,400.88","18,400.88","1,695,750,000"
30-Jun-16,"17,924.24","18,622.01","17,713.45","18,432.24","18,432.24","1,816,520,000"
31-May-16,"17,754.55","18,016.00","17,063.08","17,929.99","17,929.99","2,350,020,000"
30-Apr-16,"17,783.78","17,934.61","17,331.07","17,787.20","17,787.20","1,879,010,000"
31-Mar-16,"17,661.74","18,167.63","17,484.23","17,773.64","17,773.64","2,096,650,000"
1-Mar-16,"16,545.67","17,790.11","16,545.67","17,685.09","17,685.09","2,407,750,000"
1-Feb-16,"16,453.63","16,795.98","15,503.01","16,516.50","16,516.50","2,491,810,000"
1-Jan-16,"17,405.48","17,405.48","15,450.56","16,466.30","16,466.30","2,844,080,000"
1-Dec-15,"17,719.72","17,901.58","17,116.73","17,425.03","17,425.03","2,521,440,000"
